ins_t,oos_t
0.6411758971060697,-8.116951189257385
4.57585907218939,
-4.0034724037387095,0.05234288338872237
0.8037556904784723,-0.2328926551087243
1.3477247034056339,
13.510296820136903,
-1.7641923078555195,
5.1718943265878075,1.2090780961548322
-0.2065139067709312,
1.530243699318192,
2.278018627263819,
0.7247831554717106,17.611107932255358
5.36423466783767,
0.47069474615330953,5.021338895870966
-0.4701532084085685,0.2978233459191734
7.992411528315939,3.0103750017077164e-16
-0.8293313594861751,8.003246501221101
-3.458570326836499,1.7681536962146744
-1.0818656353741911,0.0
-5.305410434423218,
2.460817685592755,-2.072577468555267
1.358149894269614,0.9130631977749945
2.9197754983336197,-2.559698000965342
2.147168663937621,
4.130486418547683,0.0
3.3303078891451197,0.035436549673594865
-0.38096085676772773,
-1.8604105106751634,-0.5382447508059186
-0.6118413331868875,-1.0325041304739075
0.7721572587514789,
-1.4018611880278509,0.5012128580863443
4.337693296414824,-2.636378837971383
-2.4465334806862744,
3.0110603532914095,
-0.29283041881746397,
0.5823776043676792,4.819033011758213
8.488859010111415,
0.5555583285494099,-0.02987000976755565
0.5090911891859304,
8.075454687743191,-2.3181525067846773
7.9261708173312355,
-0.9415186629613919,
0.5302708134325453,2.852060973618903
1.3712641454006242,
-1.832490503581731,
12.310059845739374,6.552418461276454e-16
2.1409679703456614,-0.5800593134218187
-2.9710844524780375,1.8797438168726102
2.7342451642398053,
-2.5591615163948678,
-1.0555226413359737,
6.619561249042405,
1.3215779412586492,
0.5953630230200667,-6.89316139900859
5.08185564154261,-4.4446469927536105
2.8117546602476926,
-1.0501352143946259,
1.0508120915763608,
1.2044506686342529,
-1.117878993223769,-5.278342155239663
6.431764069535428,-0.36035292455885304
-0.34589218275242645,
1.549843541079053,
3.525250811140396,-1.3171920625846067
0.17030052444093763,-2.817104120234022e-16
1.2482002004081385,-3.49455501795685
5.471136740801664,1.9797692880763975
-0.037449481514417536,-3.2561060140433566
0.638303246304695,
-2.4237093307575037,-2.0011255772164356
1.4271569547211564,
2.597275521320201,
-1.248984067280338,
10.294045931267455,-1.2398961559971369
2.7730882224539704,
-2.731658785770481,
7.836181445151484,
-0.07352268087943743,
-0.5501671778208356,0.8526231842176678
0.3834939517440614,1.2853695176472828
-1.4268488938853783,-2.8707453149168853
-0.07643477958911439,
7.194614825751629,
-2.1427719485156276,-0.8921386851327531
2.075028892347556,2.3015449818698737
